Lemma-id	Grunnform	Funksjon	Orginalkjelde	Alle normerte	Alle_Paradigme_id	Alternativ kode	Kjelde	Ordklasse	Utdyping av ordklasse
3627	auge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
3627	auge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
3627	auge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6060	beisle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6060	beisle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6060	beisle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6060	beisle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6248	benke	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6248	benke	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6248	benke	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6248	benke	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6485	berre	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6485	berre	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
6485	berre	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
9340	båle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
9340	båle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
9340	båle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
10216	bronse	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
10216	bronse	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
10216	bronse	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
13198	dane	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
13198	dane	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
13198	dane	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
13198	dane	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
13199	danne	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
13199	danne	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
13199	danne	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
13244	danske	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
13244	danske	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
13244	danske	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
14589	dogge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
14589	dogge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
14589	dogge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
16700	egge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
16700	egge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
16700	egge	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
18876	esle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
18876	esle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
18876	esle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
18877	etle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
18877	etle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
18877	etle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
20936	fesle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
20936	fesle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
20936	fesle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
20937	fetle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
20937	fetle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
20937	fetle	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
25188	forsylve	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
25188	forsylve	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
25188	forsylve	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
25188	forsylve	lemma	NN_ORDBOK		001 001K1	001	IBM	verb	svak pret_A
36322	hele	lemma	NN_ORDBOK	001	001 001K1	001	IBM	verb	svak pret_A
